,name,short_name,mnemnoic,category,sector,second_sector,org_id
80,atlantic council,atlantic council,,think tank,national security,,5XWvcQPDPGFX
81,atlantis systems america,atlantis systems america,,commercial,defense,,ZvSnGuAEwjYp
82,atlas air world wide holdings,atlas air world wide holdings,,contractor,transportation,defense,5GXrZbbBRNxt
83,atsc,atsc,,"ngo, international",telecommunication,,6aQMLizMcDGX
84,att gov services,att gov services,,commercial,telecommunication,defense,6ofAyq3BVgPA
85,audio mpeg,audio mpeg,,commercial,telecommunication,,4krD9Rr3RfAM
86,aura systems xbernaut,aura systems xbernaut,,contractor,defense,,6vJqQHtRniVJ
87,aurora aerospace,aurora aerospace,,contractor,defense,aerospace,4FkCJJPQmyu4
88,ausa,ausa,,association,defense,,4mbr9ME6rYXp
89,b griffin company,b griffin company,,consulting,other,,4TUiEEH7hcps
90,baca group,baca group,,consulting,other,,4Nam7ey2SbGe
91,bae systems,bae systems,,contractor,defense,aerospace,mkcHD7P9nRWn
92,bah,bah,,consulting,defense,,5dn6w6JL8iXs
93,baker hughes,baker hughes,,commercial,energy,,4gT6mYYGUfdf
94,basin exploration,basin exploration,,commercial,energy,,6CAxVkAL2guV
95,battelle memorial institute,battelle memorial institute,,ngo-research,energy,technology,8FcDWst3mGiK
96,bauer and associates,bauer and associates,,consulting,other,,3qSfSDWSPgif
97,bbc,bbc,,media,media,,7PchUZr8Ljyg
98,bearingpoint,bearingpoint,,consulting,technology,defense,6mqjPocEXeqP
99,beauchamp and associates,beauchamp and associates,,consulting,other,,7rgtR9FUxNj2
100,bechtel corporation,bechtel corporation,,commercial,construction,,6ftzMwnSbcnu
101,behrman capital,behrman capital,,private equity,finance,,3uWtitrjkJKt
102,bell group,bell group,,consulting,other,,3Uoon92eECWN
103,bell helicopters,bell helicopters,,manufacturing,defense,aerospace,75sRKcmxoQWC
104,bien g lyle,bien g lyle,,consulting,defense,telecommunication,7nJycvYpFJrb
105,big sky insights ,big sky insights ,,consulting,other,,4QZ8VuGmfyyn
106,bi-partisan policy center,bi-partisan policy center,,think tank,national security,,4zsZVoJkEZGS
107,bke associates,bke associates,,consulting,other,,7ak5zoQwAXex
108,blackman robert,blackman robert,,consulting,other,,BkoU6YgsWXei
109,bnk petroleum,bnk petroleum,,manufacturing,energy,,Ai2dL2AKdmws
110,boeing,boeing,,contractor,defense,aerospace,3FSh3549cvvQ
111,bowes c william,bowes c william,,consulting,aerospace,defense,7D4dc8UfhHNQ
112,brabham james,brabham james,,consulting,other,,p7YqoE9TLvTU
113,brenmall,brenmall,,commercial,,,7TVw6JhKPad6
114,brewer leadership group,brewer leadership group,,consulting,other,,4BvQMY8w8MzR
115,broad center,broad center,,ngo state or local,education,,3urKApc2yNgV
116,burdeshaw,burdeshaw,,consulting,government,,7ig3jyURAtiA
117,burgess and niple,burgess and niple,,commercial,construction,,4CAXLxoEkSea
118,burlington northern santa fe corporation,burlington northern santa fe corporation,,transportation,transportation,,7u4rTtPomDiq
119,business executives for national security,business executives for national security,,association,national security,,6VohERcYpoJH
120,business software alliance,business software alliance,,association,telecommunication,,7tC2rsCvyWvj
121,by light professional it,by light professional it,,contractor,telecommunicationdefense,,7DKLWkWgu7SA
122,caci intl,caci intl,,contractor,defense,,6CajuKPyMoU8
123,cae usa,cae usa,,contractor,defense,,4AfToxi4srvq
124,california space authority,california space authority,,government-state,government,,5crjf5HtpKio
125,california state government,california state government,,government-state,government,,4htQ37sHyjg3
126,call to quarters,call to quarters,,"ngo, state or local",other,,5dtY4idwV5hH
127,camber,camber,,contractor,defense,,oVcJMQrw3dmY
128,caminus,caminus,,commercial,,,7KUe99Xc7qNk
129,cantor fitzgerald,cantor fitzgerald,,investment company,finance,,7JHC7DrKu4cn
130,capgemni government solutions,capgemni government solutions,,contractor,defense,,8Kit4UisuJin
131,careerbuilder.com,careerbuilder.com,,commercial,other,,D5x8awzTHEYF
132,caribou technologies,caribou technologies,,consulting,defense,,7Cy6PurYr8Zc
