,name,short_name,mnemnoic,category,sector,second_sector,org_id
368,investor relations group,investor relations group,,media,finance,,7xk6tbfh5voa
369,iridiuim llc,iridiuim llc,,contractor,defense,,6SxtdKT8MD9H
370,iridium communications,iridium communications,,contractor,aerospace,technology,7xdXDGX7CtHh
371,irobot,irobot,,commercial,technology,,5vguifP6XS44
372,isw staff,isw staff,,think tank-gov,defense,,6k7tVtHgjmku
373,itt corp,itt corp,,contractor,defense,,55r9UvPhMZ4q
374,j dallager,j dallager,,commercial,,,4bC7b3FpULSB
375,j e dunn construction,j e dunn construction,,commercial,construction,,7ttGKaFnxSSQ
376,j p hoar and associates,j p hoar and associates,,consulting,other,,aK34Unw3mnrC
377,jag school,jag school,,university,education,,6Gmm39sJnpZu
378,jajj,jajj,,commercial,,,7zEJwZZoEfE2
379,james campbell trust,james campbell trust,,trust,finance,,9FhZXfvPVNK2
380,james madison fellowship foundation,james madison fellowship foundation,,"ngo, state or local",other,,7GNzYYuFTRdd
381,jbsj associates,jbsj associates,,"ngo, state or local",other,,7dyrBuQEqmoM
382,jhandy consulting,jhandy consulting,,consulting,other,,44QBrAmwgQuV
383,jim fain consulting company,jim fain consulting company,,consulting,other,,5WwPjUUxnT8D
384,john deere,john deere,,manufacturing,manufacturing,,6QmLP7vhCx2h
385,john hancock,john hancock,,insurance,finance,,3WvAygiL5aKx
386,john michael loh and associates,john michael loh and associates,,consulting,other,,7u72io7Bd4Y2
387,john r vines,john r vines,,consulting,other,,6Q2PxUAgt7a9
388,johns hopkins school of advanced international students,,,university,education,,5VVvdCyTnwJU
389,joint forces command,joint forces command,,government,defense,,6Nge7diM4uHp
390,joint warfighting center,joint warfighting center,,government,defense,,8LQAwnpFDF9M
391,jones lang lassalle government services,jones lang lassalle government services,,contractor,real estate,,3Wq7nQssB3eT
392,jot enterprises,jot enterprises,,consulting,intelligence,,3Yu55wB5Mwb2
393,joulwan a george,joulwan a george,,consulting,other,,5P3AbzrJjLGm
394,jpa partners,jpa partners,,consulting,other,,7rarRzb8b34X
395,jpl,jpl,,research institute,aerospace,government,6dkCdDpBqViv
396,jsd and son enterprises,jsd and son enterprises,,commercial,,,5VUkC2Ydbaxu
397,jt hill and associates,jt hill and associates,,consulting,national security,,7eQXW4kcDPKJ
398,kaman corp,kaman corp,,contractor,aerospace,,3ESZNC2nfGgH
399,kansas state university,kansas state university,,university,education,,5CvZaSFBKsUx
400,kansas state university foundation ,,,university,education,,34ySP9fDJMcA
401,kara,kara,,commercial,,,xNFutZJNsNAW
402,kbr,kbr,,contractor,defense,,78ngBQZkvD35
403,keane,keane,,contractor,government,,6iEDjPJ9DDzE
404,keck institute for international and strategic studies,keck institute for international and strategic studies,,think tank,national security,,63JLt8smXdvT
405,kelso,kelso,,commercial,,,3T7MUBGABJuy
406,kenne group,kenne group,,consulting,other,,74DBKJdKdUGD
407,kennedy memorial foundation,kennedy memorial foundation,,"ngo, state or local",other,,5HjRJW5BprXm
408,kentucky state government,kentucky state government,,government-state,government,,3ZotEBvTyhMh
409,kestral enterprises,kestral enterprises,,contractor,defense,technology,LaAxa49cPFgz
410,kleiner perkins caufield and byers,kleiner perkins caufield and byers,,venture capital,finance,,7YR4H2f7H96V
411,l and e enterprise solutions,l and e enterprise solutions,,consulting,other,,dKDFUuXhXHgM
412,l3,l3,,contractor,intelligence,aerospace,6CEotQaJHc59
413,l3 communications,l3 communications,,contractor,defense,telecommunication,sYpPSUHbYzWn
414,l3 communications nova engineering,l3 communications nova engineering,,contractor,defense,telecommunication,5zYi8Wgioekr
415,"l3 mustang technology, lp","l3 mustang technology, lp",,contractor,defense,telecommunication,Je9qP8XNgBcS
416,"l3 mustang technology, lp","l3 mustang technology, lp",,contractor,defense,telecommunication,6wmYhtPMwBrk
417,landmine clearance international,landmine clearance international,,"ngo, state or local",other,,5eLRFGG5MpaS
418,laporte and associates,laporte and associates,,consulting,other,,5EhdBNbfop2o
419,law companies group,law companies group,,consulting,technology,,7W3EeXhMxmLm
420,law enforcement associates corp,law enforcement associates corp,,contractor,intelligence,technology,85Xtz8WsrSCd
421,leo pigaty consultants,leo pigaty consultants,,consulting,technology,,58Hp5LGxYf7S
422,levant power,levant power,,commercial,technology,,44Uodjk2SDbL
423,lezy strategies,lezy strategies,,consulting,other,,6QHDeXGkmfkc
424,lgs innovations (lucent),lgs innovations (lucent),,commercial,technology,,5r28HbYrNvwA
425,libertarian party,libertarian party,,political,politics,,7VB2Fnmx6EnK
426,life partners holdings,life partners holdings,,insurance,finance,,65fwSk3VmFke
427,lightening science corp,lightening science corp,,manufacturing,technology,,4D5jvNQVjS2o
428,linc group,linc group,,consulting,other,,7ChdiKAAgqTm
429,lindberg foundation,lindberg foundation,,"ngo, state or local",education,,4LaoK5ith6kC
430,lionetti consulting (bought out by another company in database),lionetti consulting (bought out by another company in database),,consulting,technology,information technology,4zuJD3ASHFQ2
431,liquidmetal technology,liquidmetal technology,,manufacturing,technology,,6FSAV4sfmbpp
432,litton,litton,,contractor,defense,,3wnzPrun2BPd
433,lmi,lmi,,consulting,government,,wH6bKonDuqmM
434,lockheed martin,lockheed martin,,contractor,defense,aerospace,3ec6oszAxU8b
435,lockheed martin space systems,,,contractor,defense,aerospace,79woKRVAokza
436,loea corp,loea corp,,commercial,telecommunications,,4uzAMds2g48G
437,logistics management resources,logistics management resources,,consulting,services,technology,8MWfzFcxkpPf
438,logtek,logtek,,consulting,services,technology,7UNkWgqK2DaH
439,loral space and communication,loral space and communication,,commercial,aerospace,,RWT7J4yioSpi
440,lord corporation,lord corporation,,manufacturing,manufacturing,,7mjjQApxfQyr
441,los alamos national laboratory,los alamos national laboratory,,think tank-gov,energy,,8J4hA8L3DDdy
442,los alamos technical associates,los alamos technical associates,,contractor,services,,Aijawe5oYEXy
443,louisiana land and exlporation,louisiana land and exlporation,,commercial,other,energy,3ydrpdhBs5sW
444,lstafford utterback,lstafford utterback,,commercial,,,7yuHoErsY4sg
445,lucent,lucent,,commercial,technology,,5aHryeL4PAp6
446,luthern chuch extension fund,luthern chuch extension fund,,"ngo, state or local",philanthropy,,42LE8N6dWxed
447,lwmiii consulting,lwmiii consulting,,consulting,other,,9tZgBxKhQ3yE
448,lyles group,lyles group,,contractor,construction,,33d27THHctB3
449,madison government affairs,madison government affairs,,consulting,consulting,,5ZWGZmGMuxqq
450,maersk line,maersk line,,commercial,transportation,,4WfmLGzdtVpp
451,main line health systems,main line health systems,,"ngo, state local",healthcare,,4WKFQYp5FqQx
452,mantech,mantech,,contractor,cybersecurity,telecommunication,noWmPYRJDtLU
453,marine corps heritage foundation,marine corps heritage foundation,,"ngo, state or local",education,,rPvkViPA3AjR
454,marlo coil,marlo coil,,commercial,manufacturing,,7GXAtKjp7gJL
455,marshall legacy institute,marshall legacy institute,,"ngo, international",other,,7fMA9eqwAu4c
456,marstel,marstel,,consulting,consulting,,3nPuoHcNdRyV
457,martin blanck and associates,martin blanck and associates,,consulting,consulting,,3vxbn3UrTDZW
458,maude foundation,maude foundation,,"ngo, state or local",philanthropy,,6o889Cz6wVj7
459,may a charles,may a charles,,consulting,consulting,,5cgB96epc8tH
460,mbna,mbna,,bank,finance,,7M8RLVTMndRe
461,mcdermott int,mcdermott int,,commercial,construction,,oABZRQNkHMN7
462,mclane advanced technology,mclane advanced technology,,contractor,defense,,8BpeYfstCwPw
463,mcpeak and associates,mcpeak and associates,,insurance,finance,,N2T2WKJgHuJi
464,mcrv,mcrv,,consulting,consulting,,4iKqPpUzA4tg
465,meis group,meis group,,commercial,education,,aPmZkukoep2S
466,mele associates,mele associates,,consulting,other,,7NXgkDLLWwK9
467,merrill advisors,merrill advisors,,consulting,consulting,,7FwGLMY54aZZ
468,mic industries,mic industries,,commercial,manufacturing,,792HbjCak22t
469,michael e ryan and associates,michael e ryan and associates,,consulting,consulting,,4F4Yt2tBCPrh
470,microsoft,microsoft,,commercial,technology,,6rdYiXEg7LHM
471,midwest research institute,,,"ngo, research",energy,defense,7z6tsXSmpXYD
472,mies group,mies group,,commercial,education,,62soMSrbkYRN
473,mighty eight air force heritage museum,mighty eight air force heritage museum,,"ngo, state or local",education,,Ls7E9F8mWNGb
474,mike mcginty associates,mike mcginty associates,,insurance,consulting,,wPTqZ2kQpa6K
475,military affairs committee,military affairs committee,,"ngo, state or local",other,,7YqrYciuX56e
476,military child education coalition,,,ngo,education,defense,8EugQTAQ2KXP
477,military officers association of america,military officers association of america,,association,defense,,3q9gWUf8Vrpy
478,mississippi state university,mississippi state university,,university,education,,uwpZHBSNKs4Z
479,mistral,mistral,,consulting,consulting,,725h5Gj5M83A
480,mit,mit,,university,education,,6rfvqDkBTZJW
481,mit lincoln labs,mit lincoln labs,,think tank-gov,defense,national security,5quJeWCdnQje
482,mitre,mitre,,think tank-gov,defense,government,4eaETpy42YLm
483,moaa,moaa,,association,military,,3NViH64nABFd
484,modumetal,modumetal,,commercial,manufacturing,,5u8csFN8t687
485,moneterey institute for international studies,moneterey institute for international studies,,university,education,,84hPTsj7UiCF
486,monher and associates,monher and associates,,consulting,other,,4fa6zmmd2T4b
487,monmouth university,,,university,education,,5sZMkkdfNArN
488,monster worldwide ,monster worldwide ,,commercial,services,,3BrdZXnm7MQC
489,moravian college,moravian college,,university,education,,3yFAyKVh86vb
490,morehouse college alumni assoc,morehouse college alumni assoc,,"ngo, state or local",education,,4qjgyfj5agH7
491,morganstanley,morganstanley,,asset management,finance,,AFFZDUT8fNga
492,mortensen and associates,,,consulting,other,,5CYGbhzedLUb
493,mortensen and associates,mortensen and associates,,consulting,other,,4sJJPjvvnrbM
494,moseley and associates,moseley and associates,,consulting,other,,4GNmq2CEagop
495,mpri,mpri,,contractor,defense,,6MZJeDSfU4xg
496,muster capital,muster capital,,commercial,,,8Wg2SBJSQLoz
497,myeloma foundation,myeloma foundation,,"ngo, state or local",healthcare,,65BxSoETnuXy
498,mystech associates,mystech associates,,contractor,technology,,6L4ngrc94qFT
499,mzm,mzm,,contractor,defense,technology,6ZCKPsUYy9wF
500,nancy e brown,nancy e brown,,consulting,other,,3UrDZda8eNHH
501,nasa,nasa,,government,aerospace,,6eXKs4fy3miE
502,national acadamies,national acadamies,,think tank-gov,technology,,5jq7G6EugLFF
503,national air and space museum,national air and space museum,,"ngo, state or local",education,,6zdpVAi6nvf8
504,national bureau of asian research,,,think tank,other,national security,7CNjVawn8AGQ
505,national center for simulation,national center for simulation,,association,technology,,3EBCKm4pAZAL
506,national committee on us-china relations,,,think tank,other,national security,6zaB6wQCWHMc
507,national defense panel,national defense panel,,advisory board-gov,government,,4ynfrhNBnrAH
508,national military intelligence association,national military intelligence association,,association,national security,defense,5B7NmmVeSFtt
509,national multiple sclerosis society,national multiple sclerosis society,,"ngo, state or local",healthcare,,5C8a5KZtCqBi
510,national museum of naval aviation,national museum of naval aviation,,"ngo, state or local",education,,7PgkDefrU6nh
511,national museum of united states air force,national museum of united states air force,,"ngo, state or local",education,,5wUHjSfapLMw
512,national security advisory agency board,national security advisory agency board,,think tank-gov,national security,,SepMTCVu7QYP
513,national shooting sports foundation,national shooting sports foundation,,association,other,,T4b7pyueBuhm
514,naval academy foundation ,naval academy foundation ,,"ngo, state or local",education,,896UQA5au88R
515,naval historical league,naval historical league,,"ngo, state or local",education,,JAREFecaTH4A
516,naval studies board,naval studies board,,think tank,national security,,rFKXtXVhDUPy
517,naval submarine league,naval submarine league,,association,defense,,73Vz3tKEjJKc
518,navy fcu,navy fcu,,bank,finance,,VSiQL3xPgJtv
519,navy league,navy league,,"ngo, state or local",philanthropy,,5fU7MQEAEcrE
520,ndia,ndia,,association,defense,,6dy4n6G84ULA
521,ndu,ndu,,university,national security,education,4eMVy74Cintk
522,neah power systems,neah power systems,,manufacturing,energy,,6dTVctHWdvqa
523,network centric operations consortium,network centric operations consortium,,association,technology,,4dBtJkavRviQ
524,neuraliq government services,neuraliq government services,,contractor,technology,,6c8ZWYBVS5yU
525,nevada alliance,nevada alliance,,commercial,,,7UYNBWHtfvz3
526,newellrubbermaid,newellrubbermaid,,manufacturing,manufacturing,,7d8LqZAXXXNA
527,nexcen franchise management (global franchise group),nexcen franchise management (global franchise group),,commercial,other,,3NUCkfdCHpUL
528,nfi,nfi,,commercial,transportation,,7XqDRYKeJZS6
529,nielson company,nielson company,,commercial,,,5SYiShGF6NTQ
530,noaa,noaa,,government,government,,6aDPyTjDxky4
531,nortel government services,nortel government services,,contractor,defense,,3Xn7Pg9hTpSw
532,northrop grumman,northrop grumman,,contractor,defense,,6bCorbzk7pVK
533,norwich university,norwich university,,university,education,,5duphiJU4ifF
534,npr,npr,,media,media,,8Ahk9zQrsvj4
535,nps,nps,,government,government,,XEPEQJYgzsYQ
536,nro,nro,,government,defense,,3zdSh2BSyEvC
537,nuclear disarmament movement,nuclear disarmament movement,,"ngo, state or local",other,,3yh3NpjcQwqt
538,nuclear energy institute,nuclear energy institute,,association,energy,,3CQQs6CFjLhb
539,oak grove technologies,oak grove technologies,,contractor,defense,intelligene,7Mam5BbA64gD
540,oak ridge national laboratory,oak ridge national laboratory,,think tank-gov,energy,,3rd9GVfumQsP
541,oceanworks int,oceanworks int,,manufacturing,defense,energy,reaW3gDJYp6U
542,oconnell and associates,oconnell and associates,,consulting,defense,,pNYByT7ZJmyZ
543,octus,octus,,commercial,technology,,KK4aR4BzKnRY
544,odni,odni,,government,intelligence,government,BbHpg4jfci4Q
545,office of homeland security,office of homeland security,,government,defense,government,4soRTYdt5G7D
546,oklahoma city chamber of commerce,oklahoma city chamber of commerce,,association,other,,6AebPhaVJiJt
547,olmstead foundation,olmstead foundation,,"ngo, state or local",philanthropy,,4KxThaLNcfoF
548,omni systems,omni systems,,contractor,technology,defense,6BxYFmEKnxwz
549,orbital services corporation,orbital services corporation,,manufacturing,aerospace,,6EWX4qTmYpjW
550,oshkosh truck corporation,oshkosh truck corporation,,commercial,transportation,,PHAKk5bckTeJ
551,osprey bay,osprey bay,,consulting,other,,836gjXgcpGWm
552,owens ira c lt general,owens ira c lt general,,consulting,other,,4Hek97YZzCJK
553,pacstar,pacstar,,manufacturing,technology,telecommunication,89JM4MyV6uMx
554,pai consulting,pai consulting,,consulting,aerospace,government,4YPRkuMufvKz
555,paladin capital group,paladin capital group,,venture capital,finance,,5uVXWxaRuNEv
556,pan american solutions,pan american solutions,,consulting,other,,8LpVfbKyRBrV
557,paradigm advanced technologies,paradigm advanced technologies,,commercial,technology,,3ibwvcQf4EKJ
558,park city consulting group,park city consulting group,,consulting,other,,4Xw2Q5zACtkE
559,patriot defense group,patriot defense group,,contractor,defense,,CTnWWEpyzPzV
560,paw and associates,paw and associates,,lobbying,other,,5xeEqc2zUCig
561,pegasus,pegasus,,commercial,,,3SMmZGhjsLq2
562,pelican products,pelican products,,commercial,,,8BsrJpbcv99A
563,pentagon federal credit union,pentagon federal credit union,,bank,finance,,4XPffTjHXtiX
564,perceptics,perceptics,,commercial,,,3SaG2UVV7GR9
565,phoenix house,phoenix house,,"ngo, state local",healthcare,philanthropy,5ZvdcCxeAeBh
566,pictsweet company,pictsweet company,,manufacturing,food & agriculture,,3LUj3SWeJ7B5
567,pikes peak united way,pikes peak united way,,"ngo, state local",philanthopy,,3sWt2URS6KYj
568,plant success,plant success,,commercial,,,6J6dFM8Htw7h
569,platinum ventures,platinum ventures,,commercial,real estate,,8ArLurCg6nEz
570,plug power,plug power,,commercial,,,7ftTXcWDxozt
571,pmh enterprises,pmh enterprises,,commercial,,,5HupuHxrnNSY
572,pointblank,pointblank,,bank,finance,,7M4iHmDJSHUC
573,positron systems,positron systems,,commercial,,,EfDmbfJwmYwo
574,potomac institute,potomac institute,,think tank ,defense,technology,VjDgd97dztoF
575,pratt and whitney,pratt and whitney,,manufacturing,manufacturing,,3CRPNbgwpeyY
576,proctor and gamble,proctor and gamble,,manufacturing,manufacturing,,4Pdcxx5fKez7
577,protective products of america,protective products of america,,commercial,,,3ecYHwKAcjrq
578,proteus group,proteus group,,commercial,,,69UzZ2Ha4kMJ
579,psnr,psnr,,commercial,,,4bnNHgdQeCmd
580,puradyn filter technologies,puradyn filter technologies,,techology,manufacturing,,4ARdmjx2DbSU
581,qss group,qss group,,it consulting ,technology,,4kCg7JQoSsEr
582,qtc management,qtc management,,contractor,healthcare,,6ePLvBLyBHaw
583,quarterdeck equity partners,quarterdeck equity partners,,bank,finance,aerospace,5rf9PoTCXTsG
584,quiet pros,quiet pros,,commercial,,,5asYMJFC4r2W
585,rackable (subsidiary of silicon graphics international group),rackable (subsidiary of silicon graphics international group),,techology,telecommunications,,3sfxh32QJoQN
586,rafael usa,rafael usa,,techology,defense,,8CCakyfmVVcs
587,railamerica (genesee & wyoming inc parent),railamerica (genesee & wyoming inc parent),,holding company,transportation,,592W8x7SsGyK
588,ran phil ford consulting,ran phil ford consulting,,consulting,other,,8HvMvB86Qxsj
589,rand,rand,,think tank-gov,defense,national security,8Ni6NttgSNFG
590,randtron antenna systems,randtron antenna systems,,techology,defense,,wDSzSATFTnaU
591,ravens group,ravens group,,consulting,defense,,45M8haxiznra
592,raytheon,raytheon,,contractor,defense,technology,4ajTjK4ftx3z
593,reason paul,reason paul,,consulting,other,,55Xj5w95ookV
594,red hat,red hat,,contractor,cybersecurity,technology,Scz77kkvcyer
595,remington,remington,,manufacturing,defense,,7QbHJavbd9Tc
596,remote reality,remote reality,,techology,technology,,757hnk9c6Pdk
597,remotec,remotec,,construction,technology,,3SHrnFP5LzrW
598,reserve officers organization,reserve officers organization,,association,defense,,87q22RJTLnSA
599,richard kramlich,richard kramlich,,consulting,other,,5eQHPXUL9ZfT
600,richard trzaskoma,richard trzaskoma,,consulting,other,,6LSqjH9hsUhr
601,rivada corporation,,,commercial,telecommunication,,4cdVZ7xMbVWw
602,rj natter,rj natter,,consulting,finance,,4mpgZUr9RM5p
603,rjbath,rjbath,,consulting,defense,,337VAZVC2z52
604,rk solution enterprises,rk solution enterprises,,consulting,finance,,828ycZBQ6rVm
605,rmyers and associates,rmyers and associates,,consulting,finance,,6Gv5hn4zcX6T
606,robbins gioia,robbins gioia,,consulting,defense,,7pxoghC4MEZ4
607,robert l rutherford,robert l rutherford,,consulting,other,,6tiwBnEWSRbC
608,robert magnus,robert magnus,,consulting,defense,,LFyGoLagQt8K
609,rockwell collins,rockwell collins,,manufacturing,defense,aerospace,5kGJYt8f289y
610,rodman and renshaw,rodman and renshaw,,investment company,finance,,3KvJSHmrVdBR
611,rogers corporation,rogers corporation,,consulting,energy,,6o5Yxnsn7PkP
612,rolls royce north america,rolls royce north america,,commercial,manufacturing,,5DEzT2bw4AHL
613,ronald w yates,ronald w yates,,consulting,other,,3eBEyw69Gbeq
614,rpm international inc,rpm international inc,,manufacturing,manufacturing,,3J6ggj72PfnV
615,rt conway & associates ,rt conway & associates ,,commercial,,,FijnZb7oWznR
616,ryder,ryder,,commercial,transportation,,5sqQsGpkgFYb
617,saa federal savings bank,saa federal savings bank,,bank,finance,,4aL75SxYyo2B
618,safenet,safenet,,contractor,information security,,5xkjDCbAGp9g
619,sage solutions,sage solutions,,consulting,policy,technology,5jPjU2ZyFcE9
620,saic,saic,,think tank-gov,defense,,6g9bWjEgvjgW
621,sandia national labolatory,sandia national labolatory,,think tank-gov,energy,,3n6LqJ8A5YxV
622,sandwich isles communications,sandwich isles communications,,commercial,telecommunications,,PJ6sFoYHNmAR
623,santerelli consulting,santerelli consulting,,consulting,military,,Q38rANkbCkxq
624,sap,sap,,it consulting ,information security,finance,5HyEf9FYc2aE
625,sapient,sapient,,consulting,marketing ,technology,6hqttxTrSWPK
626,"sasakawa peace foundation, usa",,,ngo international,other,national security,iy5d9Evee5wB
627,savanah river nuclear solutions,savanah river nuclear solutions,,commercial,energy,,6K6tYZZ69vc8
628,savi technology,savi technology,,it consulting ,security ,telecommunication,7SGvtoKjLzFF
629,schafer corp,schafer corp,,technology,national security,aerospace,jX5ozCTfgG6M
630,schering plough,schering plough,,manufacturing,healthcare,pharmacetical,84djoJ5ciSqK
631,schloz family foundation,schloz family foundation,,"ngo, state or local",philanthropy,,56oPyeZp2JL2
632,science and engineering technology associations,science and engineering technology associations,,contractor,defense,,6L6Yz4PaePDj
633,sears roebuck,sears roebuck,,commercial,retail,,4BvXzYDW5ebR
634,second genesis,second genesis,,"ngo, state or local",healthcare,,3idNiQGWoWyJ
635,securing america's future energy (safe),securing america's future energy (safe),,association,national security,,7fDWiWmYGZEd
636,security affairs alliance,security affairs alliance,,association,defense,intelligene,3mUnWBRviRh4
637,sennewald associates,sennewald associates,,consulting,other,,6AU6ZqS7QrAD
638,sensis,sensis,,consulting,marketing  comunication,government ,3kZkP8zRjsvU
639,sensis corp,sensis corp,,contractor,aerospace,,Vap3ZAuRz4of
640,sentek,sentek,,commercial,agronomy ,environment,3uyRrRrmnPH3
641,service academy advisory board,service academy advisory board,,advisory board-gov,government,,6kfxn3JRwrGe
642,shelfpoint,shelfpoint,,technology,retail,,4ALDNN42yXSf
643,shell oil,shell oil,,manufacturing,energy,,4mMbhVJbrL43
644,shipley,shipley,,consulting,comunications ,,4yjNX7spYFkR
645,short answers,short answers,,commercial,,,6iGV9XtXrHk2
646,sika international,sika international,,manufacturing,weapons manufacuring ,aerospace/ defence,32tyC7be9V9V
647,silver eagle,silver eagle,,commercial,entertainment ,,5QFxoeiBVyEm
648,smanda strategic advisers,smanda strategic advisers,,commercial,,,46p9fAuVjeFk
649,smartronix,smartronix,,it service,management ,,89YVF8BLbppm
650,smiths aerospace,smiths aerospace,,technology,aerospace,,4x98QpmBYxLX
651,snvc,snvc,,commercial,,,fkviyF4Zvk77
652,society of naval architects and engineers,society of naval architects and engineers,,association,defense,,5WniTNKqwJmG
653,sonoco products company,sonoco products company,,commercial,consumer packaging ,,3ooi33wvmWSX
654,sourcefire,sourcefire,,technology,security ,,3tK5rqj7nGqs
655,south carolina credit union,south carolina credit union,,bank,finance,,7RsNYtPLLQup
656,southwest foundation for biomedical research,southwest foundation for biomedical research,,"ngo, state or local",healthcare,,5Vk3d6jjF7St
657,spadac,spadac,,commercial,,,3zAfrN83B6sj
658,spectrum,spectrum,,consulting,other,,7FoKowtVdXGT
659,spectrum bancorporation,spectrum bancorporation,,bank,finance,,6XaXwL4ruyRK
660,"spectrum control, inc. ",,,manufacturing,technology,,8HyUoPvmGXUg
661,spencer fane britt and browne,spencer fane britt and browne,,commercial,,,6Xt7wEVBSYxU
662,spirit aerospace,spirit aerospace,,commercial,,,7m2Ry7YkipQv
663,sporting arms and ammunition manufacturers institute,sporting arms and ammunition manufacturers institute,,association,other,,7FzVTr2GpMSA
664,sri international,sri international,,consulting,technology,,5dqHtiiMudkz
665,srp consulting,srp consulting,,commercial,,,5uToKwwU6xeN
666,st louis public schools,st louis public schools,,government-local,government,,7cuadWgkeS9g
667,standard renewable energy,standard renewable energy,,commercial,energy,,62Gk4qt56UsY
668,star mountain consulting,star mountain consulting,,commercial,,,w9wQ8pYxmFfx
669,star strategies group,star strategies group,,commercial,,,6XVReegv6jTd
670,starbase atlantis,starbase atlantis,,"ngo, state or local",education,,8EJJbuQ7zkA5
671,starbright foundation,starbright foundation,,"ngo, state or local",philanthropy,,3qhECPCq5uiD
672,starcraft boosters,starcraft boosters,,commercial,,,Xc9jS6GEMP9U
673,state of florida,state of florida,,government,government,,4t6yozBEpEHY
674,staubuck governmental services,staubuck governmental services,,commercial,,,86bcQLUYqMPB
675,steele partners,steele partners,,commercial,,,7dxidanQcTyv
676,stimson,stimson,,think tank,other,,66p3wQJfSjWZ
677,stone energy,stone energy,,commercial,,,5LfRnxi4cs4f
678,strategic air and space museum,strategic air and space museum,,"ngo, state or local",education,,3EpLK7pfMdXU
679,stupski foundation,stupski foundation,,"ngo, state or local",philanthropy,,7qj7M6hsBJko
680,suntrust bank,suntrust bank,,bank,finance,,6zt6G9EjqwDY
681,suny martime college,suny martime college,,university,education,,3zqkpSKgFntJ
682,supreme group lcc,supreme group lcc,,commercial,,,8DjMYDwXPntF
683,suss consulting,suss consulting,,commercial,,,7efXpAtTj6S6
684,sy coleman,sy coleman,,commercial,,,6GDSHPuuZY6w
685,sys tech,sys tech,,commercial,,,7Q6Qa5FH5R49
686,systematic software engineering,systematic software engineering,,commercial,,,3KsHpywP7fjn
687,sytel,sytel,,commercial,,,4EX6i6JvTJvZ
688,tablerock international,tablerock international,,commercial,,,7Rg2mTFsLmxe
689,tactical air support,tactical air support,,contractor,defense,,6dUMz7Q67Mgh
690,tai intl,tai intl,,commercial,,,Su5e3P3bwJ3s
691,taos industries,taos industries,,commercial,,,84QWmKyGX4QE
692,taser international,taser international,,technology,manufacturing,,4dfR9nEGVdqi
693,taylor energy,taylor energy,,commercial,energy,,5R5tkVMdPFiP
694,tbaptiste and associates,tbaptiste and associates,,consulting,construction,,4d3ZD7DbXnMx
695,teamability,teamability,,technology,management,,4nokF5FU7kNq
696,technographics,technographics,,commercial,manufacturing,,5TMZVzTmWQoZ
697,"technology acceleration partners, investment arm","technology acceleration partners, investment arm",,venture capital,finance,,5Zhxc8ptyvW2
698,technology fusion services,technology fusion services,,technology,services ,,7qEQSQUCPUrw
699,technology strategies and alliances corp,technology strategies and alliances corp,,commercial,services,,8Jn4vkuKjd5s
700,tektronix,tektronix,,commercial,manufacturing,,7bwDRvuZyQRi
701,telecommunications infrastructures board,telecommunications infrastructures board,,commercial,telecommunication,,4EXVt6cD8wfP
702,telecommunications systems,telecommunications systems,,technology,services,,4AVcMSEuGeZA
703,teledyne,teledyne,,commercial,industrial,,5yq54vF595Lv
704,telos,telos,,commercial,consulting,,4Rv9EigV7Ryw
705,tennessee valley authority,tennessee valley authority,,government,energy,,3HCPjoYd6kCP
706,tennessee valley authority,tennessee valley authority,,energy,utility,,445SPxSSa9Pa
707,terma north america,terma north america,,technology,industrial,,3zKDX5DGGBo5
708,tex brown consulting,tex brown consulting,,consulting,services,,7h8QLA5bRza4
709,texas aandm,texas aandm,,university,education,,5zUbmfeBJ3j6
710,texas instuments,texas instuments,,commercial,technology,,37oNyYgdkFC5
711,texas state government,texas state government,,government-state,government,,6wWhxXT8ambt
712,the atlantic council,,,think tank,other,national security,322St9Syaf2e
713,the commission on the theft of american intellectual property,,,think tank,other,national security,7YxtjVYU3tBy
714,the costello group,the costello group,,consulting,services,,7D8mYcyijNAa
715,the veterans of foreign wars foundation,,,association,defense,,7PL2hxRmdMRr
716,thinklogical,,,manufacturing,technology,telecommunication,66iXoDHnudoV
717,thomas group,thomas group,,commercial,services,,4xsb9d9Xx7bq
718,thw consulting,thw consulting,,commercial,consulting,,6R8txjTdU9hK
719,tibco,tibco,,commercial,technology,,54Sw3sbochPd
720,tier 4 consulting,tier 4 consulting,,consulting,services,,6EcmoPWxiNHW
721,tmb consulting and associates,tmb consulting and associates,,consulting,technology,,375CvktabyvN
722,torch hill investment partners,torch hill investment partners,,investment company,finance,,7A2ECEDQVsdx
723,torchmark,torchmark,,holding company,insurance,,NsXgg3LDsqXd
724,toys for tots,toys for tots,,"ngo, state or local",philanthropy,,4HSZ2McG9mqd
725,translog international,translog international,,transportation,,,4KhVK3nFhe6u
726,transystems,transystems,,construction ,engineering,,5MfCmkqRvcaV
727,trex enterprise,trex enterprise,,manufacturing,electronic,,7EDSgNgmgivm
728,tricol biomedical,,,manufacturing,healthcare,,6gz3AgT9Tbk6
729,troa ed,troa ed,,association,government,,6Yzw9DBrKKgR
730,true growth ,,,consulting,consulting,,tajXjhQuhN98
731,truelite,truelite,,manufacturing,energy,,7DPd9b5h7AFC
732,trw space and electronics group,trw space and electronics group,,manufacturing,defense,,9hDyC8ovQhXV
733,tyco interational,,,contractor,defense,,59efzomkukk4
734,u.s. military academy,u.s. military academy,,university,education,,59rjJhzEwhrH
